skills,current_job_title,years_of_experience,next_job_role,growth_category
"Python, SQL, Tableau, PowerBI",Data Analyst,2,Data Scientist,High
"Java, Spring Boot, AWS, Docker",Backend Developer,4,Senior Backend Developer,Medium
"JavaScript, React, CSS, HTML5",Frontend Developer,1,Full Stack Developer,High
"Terraform, Kubernetes, AWS, Linux",DevOps Engineer,3,Site Reliability Engineer,High
"Python, R, Statistics, SQL",Junior Data Scientist,2,Data Scientist,Medium
"C#, .NET, SQL Server, Azure",Software Engineer,5,Solution Architect,High
"Figma, Adobe XD, HTML, CSS",UI/UX Designer,3,Product Designer,Medium
"Penetration Testing, SIEM, Wireshark",Cybersecurity Analyst,2,Security Engineer,High
"PHP, Laravel, MySQL, JavaScript",Web Developer,6,Senior Web Developer,Low
"Python, PyTorch, Scikit-Learn",ML Engineer,2,Senior ML Engineer,High
"AWS, CloudFormation, Networking",Cloud Associate,1,Cloud Engineer,High
"Project Management, Agile, Jira",Project Coordinator,4,IT Project Manager,Medium
"Kotlin, Android SDK, SQLite",Android Developer,3,Senior Android Developer,Medium
"Swift, iOS SDK, CoreData",iOS Developer,2,Mobile Architect,High
"SQL, ETL, Informatica, Python",Data Engineer,5,Senior Data Engineer,Medium
"Manual Testing, Selenium, Java",QA Analyst,2,Automation Engineer,High
"Node.js, MongoDB, Express, React",Full Stack Developer,4,Technical Lead,High
"Go, Kubernetes, Distributed Systems",Backend Engineer,3,Cloud Architect,High
"Excel, SQL, Google Analytics",Marketing Analyst,2,Data Analyst,Medium
"Bash, Python, Linux, Ansible",System Administrator,5,DevOps Engineer,High
"Python, SQL, Tableau",Data Analyst,3,Data Scientist,High
"Java, Spring, Microservices",Backend Developer,5,Engineering Manager,Medium
"React, Vue, Webpack",Frontend Developer,2,Senior Frontend Developer,Medium
"Docker, K8s, Jenkins",DevOps Engineer,4,Platform Engineer,High
"Python, Spark, Hadoop",Data Engineer,3,Big Data Architect,High
"Figma, Sketch, User Research",UX Designer,2,Senior UX Designer,Medium
"C++, Embedded C, RTOS",Embedded Engineer,4,Senior Embedded Systems Engineer,Medium
"Salesforce, Apex, Visualforce",Salesforce Developer,3,Salesforce Architect,High
"Ruby on Rails, PostgreSQL, Redis",Full Stack Developer,5,Senior Developer,Low
"Solidity, Ethereum, Web3.js",Blockchain Developer,2,Protocol Engineer,High
"Python, SQL, PowerBI",Data Analyst,1,Junior Data Scientist,High
"Java, Hibernate, SQL",Backend Developer,6,Technical Lead,Medium
"Angular, TypeScript, CSS",Frontend Developer,3,Full Stack Developer,Medium
"AWS, Terraform, Python",Cloud Engineer,4,Cloud Architect,High
